clean_col_names,featuresnames
t_body_accelerator_mean_x,tBodyAcc-mean()-X
t_body_accelerator_mean_y,tBodyAcc-mean()-Y
t_body_accelerator_mean_z,tBodyAcc-mean()-Z
t_body_accelerator_std_x,tBodyAcc-std()-X
t_body_accelerator_std_y,tBodyAcc-std()-Y
t_body_accelerator_std_z,tBodyAcc-std()-Z
t_gravity_accelerator_mean_x,tGravityAcc-mean()-X
t_gravity_accelerator_mean_y,tGravityAcc-mean()-Y
t_gravity_accelerator_mean_z,tGravityAcc-mean()-Z
t_gravity_accelerator_std_x,tGravityAcc-std()-X
t_gravity_accelerator_std_y,tGravityAcc-std()-Y
t_gravity_accelerator_std_z,tGravityAcc-std()-Z
t_body_accelerator_jerk_mean_x,tBodyAccJerk-mean()-X
t_body_accelerator_jerk_mean_y,tBodyAccJerk-mean()-Y
t_body_accelerator_jerk_mean_z,tBodyAccJerk-mean()-Z
t_body_accelerator_jerk_std_x,tBodyAccJerk-std()-X
t_body_accelerator_jerk_std_y,tBodyAccJerk-std()-Y
t_body_accelerator_jerk_std_z,tBodyAccJerk-std()-Z
t_body_gyroscope_mean_x,tBodyGyro-mean()-X
t_body_gyroscope_mean_y,tBodyGyro-mean()-Y
t_body_gyroscope_mean_z,tBodyGyro-mean()-Z
t_body_gyroscope_std_x,tBodyGyro-std()-X
t_body_gyroscope_std_y,tBodyGyro-std()-Y
t_body_gyroscope_std_z,tBodyGyro-std()-Z
t_body_gyroscope_jerk_mean_x,tBodyGyroJerk-mean()-X
t_body_gyroscope_jerk_mean_y,tBodyGyroJerk-mean()-Y
t_body_gyroscope_jerk_mean_z,tBodyGyroJerk-mean()-Z
t_body_gyroscope_jerk_std_x,tBodyGyroJerk-std()-X
t_body_gyroscope_jerk_std_y,tBodyGyroJerk-std()-Y
t_body_gyroscope_jerk_std_z,tBodyGyroJerk-std()-Z
t_body_accelerator_magnitude_mean,tBodyAccMag-mean()
t_body_accelerator_magnitude_std,tBodyAccMag-std()
t_gravity_accelerator_magnitude_mean,tGravityAccMag-mean()
t_gravity_accelerator_magnitude_std,tGravityAccMag-std()
t_body_accelerator_jerk_magnitude_mean,tBodyAccJerkMag-mean()
t_body_accelerator_jerk_magnitude_std,tBodyAccJerkMag-std()
t_body_gyroscope_magnitude_mean,tBodyGyroMag-mean()
t_body_gyroscope_magnitude_std,tBodyGyroMag-std()
t_body_gyroscope_jerk_magnitude_mean,tBodyGyroJerkMag-mean()
t_body_gyroscope_jerk_magnitude_std,tBodyGyroJerkMag-std()
f_body_accelerator_mean_x,fBodyAcc-mean()-X
f_body_accelerator_mean_y,fBodyAcc-mean()-Y
f_body_accelerator_mean_z,fBodyAcc-mean()-Z
f_body_accelerator_std_x,fBodyAcc-std()-X
f_body_accelerator_std_y,fBodyAcc-std()-Y
f_body_accelerator_std_z,fBodyAcc-std()-Z
f_body_accelerator_mean_freq_x,fBodyAcc-meanFreq()-X
f_body_accelerator_mean_freq_y,fBodyAcc-meanFreq()-Y
f_body_accelerator_mean_freq_z,fBodyAcc-meanFreq()-Z
f_body_accelerator_jerk_mean_x,fBodyAccJerk-mean()-X
f_body_accelerator_jerk_mean_y,fBodyAccJerk-mean()-Y
f_body_accelerator_jerk_mean_z,fBodyAccJerk-mean()-Z
f_body_accelerator_jerk_std_x,fBodyAccJerk-std()-X
f_body_accelerator_jerk_std_y,fBodyAccJerk-std()-Y
f_body_accelerator_jerk_std_z,fBodyAccJerk-std()-Z
f_body_accelerator_jerk_mean_freq_x,fBodyAccJerk-meanFreq()-X
f_body_accelerator_jerk_mean_freq_y,fBodyAccJerk-meanFreq()-Y
f_body_accelerator_jerk_mean_freq_z,fBodyAccJerk-meanFreq()-Z
f_body_gyroscope_mean_x,fBodyGyro-mean()-X
f_body_gyroscope_mean_y,fBodyGyro-mean()-Y
f_body_gyroscope_mean_z,fBodyGyro-mean()-Z
f_body_gyroscope_std_x,fBodyGyro-std()-X
f_body_gyroscope_std_y,fBodyGyro-std()-Y
f_body_gyroscope_std_z,fBodyGyro-std()-Z
f_body_gyroscope_mean_freq_x,fBodyGyro-meanFreq()-X
f_body_gyroscope_mean_freq_y,fBodyGyro-meanFreq()-Y
f_body_gyroscope_mean_freq_z,fBodyGyro-meanFreq()-Z
f_body_accelerator_magnitude_mean,fBodyAccMag-mean()
f_body_accelerator_magnitude_std,fBodyAccMag-std()
f_body_accelerator_magnitude_mean_freq,fBodyAccMag-meanFreq()
f_body_body_accelerator_jerk_magnitude_mean,fBodyBodyAccJerkMag-mean()
f_body_body_accelerator_jerk_magnitude_std,fBodyBodyAccJerkMag-std()
f_body_body_accelerator_jerk_magnitude_mean_freq,fBodyBodyAccJerkMag-meanFreq()
f_body_body_gyroscope_magnitude_mean,fBodyBodyGyroMag-mean()
f_body_body_gyroscope_magnitude_std,fBodyBodyGyroMag-std()
f_body_body_gyroscope_magnitude_mean_freq,fBodyBodyGyroMag-meanFreq()
f_body_body_gyroscope_jerk_magnitude_mean,fBodyBodyGyroJerkMag-mean()
f_body_body_gyroscope_jerk_magnitude_std,fBodyBodyGyroJerkMag-std()
f_body_body_gyroscope_jerk_magnitude_mean_freq,fBodyBodyGyroJerkMag-meanFreq()
